,name_x,searched_longitude,searched_latitude,number of bikes,name_y,location,rating,distance,review_count,price
77,CLARENDON ROW,-6.262501,53.340927,31,Bunsen,3 Anne Street S,4.7,163.1723217079221,77,€€
78,CLARENDON ROW,-6.262501,53.340927,31,Rustic Stone,17 S Great Georges Street,3.8,249.5052611172962,206,€€€
79,CLARENDON ROW,-6.262501,53.340927,31,Pichet,14-15 Trinity Street,4.3,356.8939943586954,116,€€€
80,ECCLES STREET EAST,-6.265601,53.358115,27,Bleecker Street Cafe Bar,68 Dorset Street,4.6,157.79902706648068,58,€€
81,ECCLES STREET EAST,-6.265601,53.358115,27,The Boxty House,20-21 Temple Bar,4.3,1396.52017666594,1231,€€€
82,ECCLES STREET EAST,-6.265601,53.358115,27,The Old Mill Restaurant,14 Temple Bar Square,4.5,1377.886282214319,229,€€
83,ECCLES STREET EAST,-6.265601,53.358115,27,F.X.Buckley,2 Crow Street,4.6,1505.3125887183678,120,€€€
84,ECCLES STREET EAST,-6.265601,53.358115,27,L Mulligan Grocer,18 Stoneybatter,4.3,1361.2045556228657,215,€€
85,ECCLES STREET EAST,-6.265601,53.358115,27,Bunsen,22 Essex Street E,4.5,1394.788265244879,215,€€
86,ECCLES STREET EAST,-6.265601,53.358115,27,Klaw,5A Crown Alley,4.4,1432.256412122909,180,€€
87,ECCLES STREET EAST,-6.265601,53.358115,27,Chapter One,Basement of The Writers Museum,4.5,426.682170595804,111,€€€€
88,ECCLES STREET EAST,-6.265601,53.358115,27,The Brazen Head,20 Bridge Street Lower,4.2,1625.858591902189,906,€€€
89,ECCLES STREET EAST,-6.265601,53.358115,27,The Quays Irish Restaurant,10-12 Temple Bar Square,4.2,1390.6513063909858,239,€€
90,KING STREET NORTH,-6.273507,53.350291,30,The Boxty House,20-21 Temple Bar,4.3,905.621520175818,1231,€€€
91,KING STREET NORTH,-6.273507,53.350291,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,861.7567891763472,229,€€
92,KING STREET NORTH,-6.273507,53.350291,30,L Mulligan Grocer,18 Stoneybatter,4.3,625.7625768636768,215,€€
93,KING STREET NORTH,-6.273507,53.350291,30,The Brazen Head,20 Bridge Street Lower,4.2,620.5943487242366,906,€€€
94,KING STREET NORTH,-6.273507,53.350291,30,Arisu Korean Restaurant,119-120 Capel Street,4.0,331.1319681202449,88,€€
95,KING STREET NORTH,-6.273507,53.350291,30,IL Vicoletto,5 Crow Street,4.5,911.884336730399,131,€€€
96,KING STREET NORTH,-6.273507,53.350291,30,Darkey Kellys,Hotel Harding,4.6,745.0867043274742,263,€€
97,KING STREET NORTH,-6.273507,53.350291,30,The Pig's Ear,4 Nassau Street,4.3,1529.1061239273683,238,€€€
98,KING STREET NORTH,-6.273507,53.350291,30,Bunsen,22 Essex Street E,4.5,794.139747793682,215,€€
99,KING STREET NORTH,-6.273507,53.350291,30,The Bank on College Green,20-22 College Green,4.4,1039.774382909727,441,€€€
100,BENSON STREET,-6.233451,53.344153,40,The Pig's Ear,4 Nassau Street,4.3,1429.5361099077672,238,€€€
101,BENSON STREET,-6.233451,53.344153,40,Charlotte Quay,Charlotte Quay Dock Millennium Tower,4.3,273.2490079619532,24,€€€
102,BENSON STREET,-6.233451,53.344153,40,Paulie's Pizza,58 Grand Canal Street,4.5,747.1153220166402,185,€€
103,BENSON STREET,-6.233451,53.344153,40,The Marker Hotel,Grand Canal Square,4.1,352.6205182985833,86,€€€
104,BENSON STREET,-6.233451,53.344153,40,The Sussex,8/9 Sussex Terrace,4.7,1866.767882535638,53,€€€
105,BENSON STREET,-6.233451,53.344153,40,Nutbutter,Forbes St,4.6,311.06248620566754,25,
106,BENSON STREET,-6.233451,53.344153,40,Herbstreet,Hanover Quay,4.1,286.5222956953323,172,€€
107,BENSON STREET,-6.233451,53.344153,40,FX Buckley,1A Lower Pembroke St,4.3,1406.5313248416885,95,€€€
108,BENSON STREET,-6.233451,53.344153,40,Pearl Brasserie,20 Upper Merrion Street,4.5,1457.6503449962097,74,€€€
109,BENSON STREET,-6.233451,53.344153,40,The Old Spot,14 Bath Avenue,4.5,756.7639027709057,48,€€€
110,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,The Boxty House,20-21 Temple Bar,4.3,1504.1208478428082,1231,€€€
111,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,L Mulligan Grocer,18 Stoneybatter,4.3,508.37756718474606,215,€€
112,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,The Old Mill Restaurant,14 Temple Bar Square,4.5,1463.6605131220012,229,€€
113,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,IL Vicoletto,5 Crow Street,4.5,1534.025382440345,131,€€€
114,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,The Bank on College Green,20-22 College Green,4.4,1651.2427571277665,441,€€€
115,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,Featherblade,51B Dawson Street,4.4,2007.2364919256368,122,€€
116,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,Darkey Kellys,Hotel Harding,4.6,1369.309548333921,263,€€
117,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,F.X.Buckley,2 Crow Street,4.6,1520.073637836237,120,€€€
118,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,Pichet,14-15 Trinity Street,4.3,1620.5558888553503,116,€€€
119,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40,Bunsen,22 Essex Street E,4.5,1410.5449224273302,215,€€
120,ROTHE ABBEY,-6.30395,53.338776,35,L Mulligan Grocer,18 Stoneybatter,4.3,1987.7035158590645,215,€€
121,ROTHE ABBEY,-6.30395,53.338776,35,Union8,740 S Circular Road,4.1,322.27086597028443,55,€€
122,ROTHE ABBEY,-6.30395,53.338776,35,La Dolce Vita,760 S Circular Road,3.9,405.5470372560608,44,€€
123,ROTHE ABBEY,-6.30395,53.338776,35,Ryans Of Parkgate Street,28 Parkgate Street,4.4,1238.3122518459456,66,€€
124,ROTHE ABBEY,-6.30395,53.338776,35,Fish Shop,76 Benburb Street,4.6,1738.0210477491328,62,
