,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
116,Darkey Kellys,Hotel Harding,4.6,1369.309548333921,263,€€,53.355173,-6.278424
117,F.X.Buckley,2 Crow Street,4.6,1520.073637836237,120,€€€,53.355173,-6.278424
118,Pichet,14-15 Trinity Street,4.3,1620.5558888553503,116,€€€,53.355173,-6.278424
119,Bunsen,22 Essex Street E,4.5,1410.5449224273302,215,€€,53.355173,-6.278424
120,L Mulligan Grocer,18 Stoneybatter,4.3,1987.7035158590645,215,€€,53.338776,-6.30395
121,Union8,740 S Circular Road,4.1,322.27086597028443,55,€€,53.338776,-6.30395
122,La Dolce Vita,760 S Circular Road,3.9,405.5470372560608,44,€€,53.338776,-6.30395
123,Ryans Of Parkgate Street,28 Parkgate Street,4.4,1238.3122518459456,66,€€,53.338776,-6.30395
124,Fish Shop,76 Benburb Street,4.6,1738.0210477491328,62,,53.338776,-6.30395
125,Arthur's Pub,28 Thomas Street,4.3,1569.1752453046156,92,€€,53.338776,-6.30395
126,Guinness Storehouse,St James's Gate,4.2,1206.9207887965829,1830,€€,53.338776,-6.30395
127,Wuff,23 Benburb Street,4.4,1723.413472504287,132,€€,53.338776,-6.30395
128,Phx Bistro,12 Ellis Quay,4.6,1737.2248256222676,64,€€,53.338776,-6.30395
129,Nancy Hands Bar & Restaurant,30-32 Parkgate Street,3.9,1229.3156618290793,97,€€,53.338776,-6.30395
130,The Boxty House,20-21 Temple Bar,4.3,1071.0616818150243,1231,€€€,53.346637,-6.246154
131,J2 Grill & Sushi,"Unit A, The Campshires",4.0,178.37387548647317,127,€€,53.346637,-6.246154
132,The Pig's Ear,4 Nassau Street,4.3,747.6278401032276,238,€€€,53.346637,-6.246154
133,The Old Mill Restaurant,14 Temple Bar Square,4.5,1114.6841291994895,229,€€,53.346637,-6.246154
134,IL Vicoletto,5 Crow Street,4.5,1193.9325856072678,131,€€€,53.346637,-6.246154
135,The Bank on College Green,20-22 College Green,4.4,1050.0344907156896,441,€€€,53.346637,-6.246154
136,Pichet,14-15 Trinity Street,4.3,1118.7478549585767,116,€€€,53.346637,-6.246154
137,Featherblade,51B Dawson Street,4.4,982.8881778972066,122,€€,53.346637,-6.246154
138,Musashi IFSC,"Unit 2 , Burton Hall",4.2,357.45848967830267,53,€€,53.346637,-6.246154
139,F.X.Buckley,2 Crow Street,4.6,1197.4813100471704,120,€€€,53.346637,-6.246154
